Name,AvgDuration(ms),MinDuration(ms),MaxDuration(ms),StdDev(ms),Iterations,OpsPerSec,MemoryUsage(bytes)
BaselinePerformanceTest,0.003023,0.003,0.02,0.000542652,1000,330797,1090519040
MemoryUsageStabilityTest,0.000995,0,0.004,0.000130288,1000,1.00503e+06,1157627904
